station,station_key
Alumínio,ALUMINIO
Arará,ARARA
Baia Sepetiba,BAIA SEPETIBA
Barbacena,BARBACENA
Barbará,BARBARA
Barnabé,BARNABE
Barreiro,BARREIRO
Barão de Angra,BARAO DE ANGRA
Benfica,BENFICA
Boa Vista Velha,BOA VISTA VELHA
Brisamar,BRISAMAR
Capuava,CAPUAVA
Carlos Newlands,CARLOS NEWLANDS
Casa de Pedra,CASA DE PEDRA
Caçapava,CACAPAVA
Cel. João Carlos Guedes,CEL. JOAO CARLOS GUEDES
Conceiçãozinha,CONCEICAOZINHA
Congonhas do Campo,CONGONHAS DO CAMPO
Couto e Silva,COUTO E SILVA
Cragea,CRAGEA
Cruzeiro,CRUZEIRO
Curuputuba,CURUPUTUBA
Deodoro,DEODORO
Dias Tavares,DIAS TAVARES
Dr. Joaquim Murtinho,DR. JOAQUIM MURTINHO
Dr. Lund,DR. LUND
Edmar Alves,EDMAR ALVES
Eldorado,ELDORADO
Embiruçu,EMBIRUCU
Eng. Cesar de Souza,ENG. CESAR DE SOUZA
Eng. Neiva,ENG. NEIVA
Eng. São Paulo,ENG. SAO PAULO
Estação TUF,ESTACAO TUF
Final Ramal das Fábricas,FINAL RAMAL DAS FABRICAS
Floriano,FLORIANO
Guaiba,GUAIBA
Horto Florestal,HORTO FLORESTAL
Ipiranga,IPIRANGA
Itaguai,ITAGUAI
Itatiaia,ITATIAIA
Itirapina,ITIRAPINA
Itutinga,ITUTINGA
Jundiaí,JUNDIAI
Lafaiete Bandeira,LAFAIETE BANDEIRA
Manoel Feio,MANOEL FEIO
Mogi das Cruzes,MOGI DAS CRUZES
Mooca,MOOCA
MultiTerminais,MULTITERMINAIS
Nova Granja,NOVA GRANJA
Olhos D Água,OLHOS D AGUA
Otavio Dapieve,OTAVIO DAPIEVE
Ouro Branco,OURO BRANCO
Parque Industrial,PARQUE INDUSTRIAL
Paulínia,PAULINIA
Pederneiras,PEDERNEIRAS
Pedra do Sino,PEDRA DO SINO
Pedrasil,PEDRASIL
Piaçaguera,PIACAGUERA
Pinheirinho,PINHEIRINHO
Pires,PIRES
Porto Sudeste,PORTO SUDESTE
Pradopolis,PRADOPOLIS
Prudente de Morais,PRUDENTE DE MORAIS
Pulverizacao,PULVERIZACAO
Replan,REPLAN
Rio Preto Paulista,RIO PRETO PAULISTA
Roseira,ROSEIRA
Santo André,SANTO ANDRE
Santos,SANTOS
Sarzedo,SARZEDO
Sarzedo Novo,SARZEDO NOVO
Saudade,SAUDADE
Siderúrgica do Atlântico,SIDERURGICA DO ATLANTICO
Suzano Novo,SUZANO NOVO
São Bento,SAO BENTO
São Caetano do Sul,SAO CAETANO DO SUL
São José dos Campos,SAO JOSE DOS CAMPOS
São Silvestre,SAO SILVESTRE
Taubaté,TAUBATE
Terminal Cimento Barroso,TERMINAL CIMENTO BARROSO
Terminal Paraibuna de Metais,TERMINAL PARAIBUNA DE METAIS
Usiminas,USIMINAS
Utinga,UTINGA
Vespasiano,VESPASIANO
Viga,VIGA
Volta Redonda,VOLTA REDONDA
Votuporanga,VOTUPORANGA
Wilson Lobato,WILSON LOBATO
Água Branca,AGUA BRANCA
